name,furigana,prefecture,birthdate,age,gender,snum,term,rank,style,score,～１昨年_合計_出走数,～１昨年_合計_優勝,～１昨年_合計_1着,～１昨年_合計_2着,～１昨年_合計_3着,～１昨年_合計_着外,～１昨年_合計_棄権,～１昨年_合計_失格,～１昨年_合計_勝率,～１昨年_合計_2連対率,～１昨年_合計_3連対率,～１昨年_F2_出走数,～１昨年_F2_優勝,～１昨年_F2_1着,～１昨年_F2_2着,～１昨年_F2_3着,～１昨年_F2_着外,～１昨年_F2_棄権,～１昨年_F2_失格,～１昨年_F2_勝率,～１昨年_F2_2連対率,～１昨年_F2_3連対率,～１昨年_F1_出走数,～１昨年_F1_優勝,～１昨年_F1_1着,～１昨年_F1_2着,～１昨年_F1_3着,～１昨年_F1_着外,～１昨年_F1_棄権,～１昨年_F1_失格,～１昨年_F1_勝率,～１昨年_F1_2連対率,～１昨年_F1_3連対率,～１昨年_G3_出走数,～１昨年_G3_優勝,～１昨年_G3_1着,～１昨年_G3_2着,～１昨年_G3_3着,～１昨年_G3_着外,～１昨年_G3_棄権,～１昨年_G3_失格,～１昨年_G3_勝率,～１昨年_G3_2連対率,～１昨年_G3_3連対率,～１昨年_G2_出走数,～１昨年_G2_優勝,～１昨年_G2_1着,～１昨年_G2_2着,～１昨年_G2_3着,～１昨年_G2_着外,～１昨年_G2_棄権,～１昨年_G2_失格,～１昨年_G2_勝率,～１昨年_G2_2連対率,～１昨年_G2_3連対率,～１昨年_G1_出走数,～１昨年_G1_優勝,～１昨年_G1_1着,～１昨年_G1_2着,～１昨年_G1_3着,～１昨年_G1_着外,～１昨年_G1_棄権,～１昨年_G1_失格,～１昨年_G1_勝率,～１昨年_G1_2連対率,～１昨年_G1_3連対率,～１昨年_GP_出走数,～１昨年_GP_優勝,～１昨年_GP_1着,～１昨年_GP_2着,～１昨年_GP_3着,～１昨年_GP_着外,～１昨年_GP_棄権,～１昨年_GP_失格,～１昨年_GP_勝率,～１昨年_GP_2連対率,～１昨年_GP_3連対率,昨年_合計_出走数,昨年_合計_優勝,昨年_合計_1着,昨年_合計_2着,昨年_合計_3着,昨年_合計_着外,昨年_合計_棄権,昨年_合計_失格,昨年_合計_勝率,昨年_合計_2連対率,昨年_合計_3連対率,昨年_F2_出走数,昨年_F2_優勝,昨年_F2_1着,昨年_F2_2着,昨年_F2_3着,昨年_F2_着外,昨年_F2_棄権,昨年_F2_失格,昨年_F2_勝率,昨年_F2_2連対率,昨年_F2_3連対率,昨年_F1_出走数,昨年_F1_優勝,昨年_F1_1着,昨年_F1_2着,昨年_F1_3着,昨年_F1_着外,昨年_F1_棄権,昨年_F1_失格,昨年_F1_勝率,昨年_F1_2連対率,昨年_F1_3連対率,昨年_G3_出走数,昨年_G3_優勝,昨年_G3_1着,昨年_G3_2着,昨年_G3_3着,昨年_G3_着外,昨年_G3_棄権,昨年_G3_失格,昨年_G3_勝率,昨年_G3_2連対率,昨年_G3_3連対率,昨年_G2_出走数,昨年_G2_優勝,昨年_G2_1着,昨年_G2_2着,昨年_G2_3着,昨年_G2_着外,昨年_G2_棄権,昨年_G2_失格,昨年_G2_勝率,昨年_G2_2連対率,昨年_G2_3連対率,昨年_G1_出走数,昨年_G1_優勝,昨年_G1_1着,昨年_G1_2着,昨年_G1_3着,昨年_G1_着外,昨年_G1_棄権,昨年_G1_失格,昨年_G1_勝率,昨年_G1_2連対率,昨年_G1_3連対率,昨年_GP_出走数,昨年_GP_優勝,昨年_GP_1着,昨年_GP_2着,昨年_GP_3着,昨年_GP_着外,昨年_GP_棄権,昨年_GP_失格,昨年_GP_勝率,昨年_GP_2連対率,昨年_GP_3連対率,本年_合計_出走数,本年_合計_優勝,本年_合計_1着,本年_合計_2着,本年_合計_3着,本年_合計_着外,本年_合計_棄権,本年_合計_失格,本年_合計_勝率,本年_合計_2連対率,本年_合計_3連対率,本年_F2_出走数,本年_F2_優勝,本年_F2_1着,本年_F2_2着,本年_F2_3着,本年_F2_着外,本年_F2_棄権,本年_F2_失格,本年_F2_勝率,本年_F2_2連対率,本年_F2_3連対率,本年_F1_出走数,本年_F1_優勝,本年_F1_1着,本年_F1_2着,本年_F1_3着,本年_F1_着外,本年_F1_棄権,本年_F1_失格,本年_F1_勝率,本年_F1_2連対率,本年_F1_3連対率,本年_G3_出走数,本年_G3_優勝,本年_G3_1着,本年_G3_2着,本年_G3_3着,本年_G3_着外,本年_G3_棄権,本年_G3_失格,本年_G3_勝率,本年_G3_2連対率,本年_G3_3連対率,本年_G2_出走数,本年_G2_優勝,本年_G2_1着,本年_G2_2着,本年_G2_3着,本年_G2_着外,本年_G2_棄権,本年_G2_失格,本年_G2_勝率,本年_G2_2連対率,本年_G2_3連対率,本年_G1_出走数,本年_G1_優勝,本年_G1_1着,本年_G1_2着,本年_G1_3着,本年_G1_着外,本年_G1_棄権,本年_G1_失格,本年_G1_勝率,本年_G1_2連対率,本年_G1_3連対率,本年_GP_出走数,本年_GP_優勝,本年_GP_1着,本年_GP_2着,本年_GP_3着,本年_GP_着外,本年_GP_棄権,本年_GP_失格,本年_GP_勝率,本年_GP_2連対率,本年_GP_3連対率,通算_合計_出走数,通算_合計_優勝,通算_合計_1着,通算_合計_2着,通算_合計_3着,通算_合計_着外,通算_合計_棄権,通算_合計_失格,通算_合計_勝率,通算_合計_2連対率,通算_合計_3連対率,通算_F2_出走数,通算_F2_優勝,通算_F2_1着,通算_F2_2着,通算_F2_3着,通算_F2_着外,通算_F2_棄権,通算_F2_失格,通算_F2_勝率,通算_F2_2連対率,通算_F2_3連対率,通算_F1_出走数,通算_F1_優勝,通算_F1_1着,通算_F1_2着,通算_F1_3着,通算_F1_着外,通算_F1_棄権,通算_F1_失格,通算_F1_勝率,通算_F1_2連対率,通算_F1_3連対率,通算_G3_出走数,通算_G3_優勝,通算_G3_1着,通算_G3_2着,通算_G3_3着,通算_G3_着外,通算_G3_棄権,通算_G3_失格,通算_G3_勝率,通算_G3_2連対率,通算_G3_3連対率,通算_G2_出走数,通算_G2_優勝,通算_G2_1着,通算_G2_2着,通算_G2_3着,通算_G2_着外,通算_G2_棄権,通算_G2_失格,通算_G2_勝率,通算_G2_2連対率,通算_G2_3連対率,通算_G1_出走数,通算_G1_優勝,通算_G1_1着,通算_G1_2着,通算_G1_3着,通算_G1_着外,通算_G1_棄権,通算_G1_失格,通算_G1_勝率,通算_G1_2連対率,通算_G1_3連対率,通算_GP_出走数,通算_GP_優勝,通算_GP_1着,通算_GP_2着,通算_GP_3着,通算_GP_着外,通算_GP_棄権,通算_GP_失格,通算_GP_勝率,通算_GP_2連対率,通算_GP_3連対率
小林 稜武,コバヤシ リョウブ,千葉県,1993/04/03,32歳,男,015259,113期,A級1班,逃,90.33,394,9,108,48,42,192,4,0,27.4%,39.5%,50.2%,165,7,71,20,20,53,1,0,43.0%,55.1%,67.2%,180,2,36,25,20,97,2,0,20.0%,33.8%,45.0%,49,0,1,3,2,42,1,0,2.0%,8.1%,12.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83,1,14,15,7,46,1,0,16.8%,34.9%,43.3%,24,0,5,6,6,7,0,0,20.8%,45.8%,70.8%,40,1,8,7,1,23,1,0,20.0%,37.5%,40.0%,19,0,1,2,0,16,0,0,5.2%,15.7%,15.7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,1,3,3,3,6,1,0,18.7%,37.5%,56.2%,12,0,2,2,3,5,0,0,16.6%,33.3%,58.3%,4,1,1,1,0,1,1,0,25.0%,50.0%,50.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,493,11,125,66,52,244,6,0,25.3%,38.7%,49.2%,201,7,78,28,29,65,1,0,38.8%,52.7%,67.1%,224,4,45,33,21,121,4,0,20.0%,34.8%,44.1%,68,0,2,5,2,58,1,0,2.9%,10.2%,13.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
國井 裕樹,クニイ ユウキ,神奈川県,1984/04/27,41歳,男,015260,113期,A級3班,逃,71.20,434,1,81,69,56,225,2,1,18.6%,34.5%,47.4%,371,1,79,61,45,183,2,1,21.2%,37.7%,49.8%,63,0,2,8,11,42,0,0,3.1%,15.8%,33.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,0,19,17,6,33,0,0,25.3%,48.0%,56.0%,75,0,19,17,6,33,0,0,25.3%,48.0%,56.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,0,6,11,2,15,0,0,17.6%,50.0%,55.8%,34,0,6,11,2,15,0,0,17.6%,50.0%,55.8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,543,1,106,97,64,273,2,1,19.5%,37.3%,49.1%,480,1,104,89,53,231,2,1,21.6%,40.2%,51.2%,63,0,2,8,11,42,0,0,3.1%,15.8%,33.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
松井 宏佑,マツイ コウユウ,神奈川県,1992/09/24,32歳,男,015261,113期,S級1班,逃,114.44,327,19,125,59,30,106,6,2,38.2%,56.2%,65.4%,29,6,23,4,0,2,0,0,79.3%,93.1%,93.1%,97,10,53,13,8,21,2,0,54.6%,68.0%,76.2%,77,2,24,21,8,22,1,2,31.1%,58.4%,68.8%,35,1,7,5,5,18,0,0,20.0%,34.2%,48.5%,89,0,18,16,9,43,3,0,20.2%,38.2%,48.3%,,,,,,,,,,,,78,3,24,19,3,32,0,0,30.7%,55.1%,58.9%,2,0,0,0,0,2,0,0,0.0%,0.0%,0.0%,18,3,10,6,0,2,0,0,55.5%,88.8%,88.8%,20,0,6,5,1,8,0,0,30.0%,55.0%,60.0%,11,0,1,2,2,6,0,0,9.0%,27.2%,45.4%,27,0,7,6,0,14,0,0,25.9%,48.1%,48.1%,,,,,,,,,,,,29,1,8,7,7,7,0,0,27.5%,51.7%,75.8%,,,,,,,,,,,,9,0,2,4,2,1,0,0,22.2%,66.6%,88.8%,8,1,2,2,3,1,0,0,25.0%,50.0%,87.5%,4,0,1,1,1,1,0,0,25.0%,50.0%,75.0%,8,0,3,0,1,4,0,0,37.5%,37.5%,50.0%,,,,,,,,,,,,434,23,157,85,40,145,6,2,36.1%,55.7%,64.9%,31,6,23,4,0,4,0,0,74.1%,87.0%,87.0%,124,13,65,23,10,24,2,0,52.4%,70.9%,79.0%,105,3,32,28,12,31,1,2,30.4%,57.1%,68.5%,50,1,9,8,8,25,0,0,18.0%,34.0%,50.0%,124,0,28,22,10,61,3,0,22.5%,40.3%,48.3%,,,,,,,,,,,
内山 雅貴,ウチヤマ マサタカ,静岡県,1995/04/03,30歳,男,015262,113期,S級2班,逃,99.39,374,17,116,50,41,162,3,3,31.0%,44.3%,55.3%,111,14,72,14,7,14,3,2,64.8%,77.4%,83.7%,190,3,40,30,23,97,0,0,21.0%,36.8%,48.9%,73,0,4,6,11,51,0,1,5.4%,13.6%,28.7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79,7,24,14,12,26,3,0,30.3%,48.1%,63.2%,30,5,14,6,4,5,1,0,46.6%,66.6%,80.0%,39,2,9,6,6,17,1,0,23.0%,38.4%,53.8%,10,0,1,2,2,4,1,0,10.0%,30.0%,50.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,0,6,2,4,21,0,0,18.1%,24.2%,36.3%,,,,,,,,,,,,21,0,6,2,4,9,0,0,28.5%,38.0%,57.1%,12,0,0,0,0,12,0,0,0.0%,0.0%,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,486,24,146,66,57,209,6,3,30.0%,43.6%,55.3%,141,19,86,20,11,19,4,2,60.9%,75.1%,82.9%,250,5,55,38,33,123,1,0,22.0%,37.2%,50.4%,95,0,5,8,13,67,1,1,5.2%,13.6%,27.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
渡邉 直弥,ワタナベ ナオヤ,静岡県,1996/07/12,28歳,男,015264,113期,A級2班,両,82.32,381,7,103,53,37,186,2,1,27.0%,40.9%,50.6%,254,5,79,47,25,103,0,0,31.1%,49.6%,59.4%,115,2,24,6,10,73,2,1,20.8%,26.0%,34.7%,12,0,0,0,2,10,0,0,0.0%,0.0%,16.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86,0,11,13,10,51,1,0,12.7%,27.9%,39.5%,51,0,5,9,4,33,0,0,9.8%,27.4%,35.2%,35,0,6,4,6,18,1,0,17.1%,28.5%,45.7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,0,3,5,4,22,1,0,8.5%,22.8%,34.2%,29,0,3,4,3,18,1,0,10.3%,24.1%,34.4%,6,0,0,1,1,4,0,0,0.0%,16.6%,33.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,502,7,117,71,51,259,4,1,23.3%,37.4%,47.6%,334,5,87,60,32,154,1,0,26.0%,44.0%,53.5%,156,2,30,11,17,95,3,1,19.2%,26.2%,37.1%,12,0,0,0,2,10,0,0,0.0%,0.0%,16.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
井田 晶之,イダ アキユキ,三重県,1991/06/28,33歳,男,015265,113期,A級1班,逃,89.52,488,10,138,82,57,205,5,2,28.2%,45.0%,56.7%,339,10,107,59,40,130,2,1,31.5%,48.9%,60.7%,149,0,31,23,17,75,3,1,20.8%,36.2%,47.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105,0,16,25,17,47,0,0,15.2%,39.0%,55.2%,78,0,9,21,13,35,0,0,11.5%,38.4%,55.1%,27,0,7,4,4,12,0,0,25.9%,40.7%,55.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,0,5,8,5,18,0,0,13.8%,36.1%,50.0%,24,0,3,6,5,10,0,0,12.5%,37.5%,58.3%,12,0,2,2,0,8,0,0,16.6%,33.3%,33.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,629,10,159,115,79,270,5,2,25.2%,43.5%,56.1%,441,10,119,86,58,175,2,1,26.9%,46.4%,59.6%,188,0,40,29,21,95,3,1,21.2%,36.7%,47.8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
福田 真平,フクダ シンペイ,愛知県,1987/11/22,37歳,男,015266,113期,A級1班,追,87.41,373,6,67,73,64,168,1,0,17.9%,37.5%,54.6%,286,6,62,59,48,117,0,0,21.6%,42.3%,59.0%,87,0,5,14,16,51,1,0,5.7%,21.8%,40.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,0,7,13,7,26,0,0,13.2%,37.7%,50.9%,34,0,5,9,4,16,0,0,14.7%,41.1%,52.9%,19,0,2,4,3,10,0,0,10.5%,31.5%,47.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,0,5,5,2,12,0,0,20.8%,41.6%,50.0%,21,0,5,3,2,11,0,0,23.8%,38.0%,47.6%,3,0,0,2,0,1,0,0,0.0%,66.6%,66.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,450,6,79,91,73,206,1,0,17.5%,37.7%,54.0%,341,6,72,71,54,144,0,0,21.1%,41.9%,57.7%,109,0,7,20,19,62,1,0,6.4%,24.7%,42.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
橋本 英也,ハシモト エイヤ,岐阜県,1993/12/15,31歳,男,015267,113期,A級2班,逃,-,124,14,73,16,14,21,0,0,58.8%,71.7%,83.0%,93,13,59,12,11,11,0,0,63.4%,76.3%,88.1%,31,1,14,4,3,10,0,0,45.1%,58.0%,67.7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,0,2,1,2,5,1,0,18.1%,27.2%,45.4%,3,0,0,0,2,1,0,0,0.0%,0.0%,66.6%,8,0,2,1,0,4,1,0,25.0%,37.5%,37.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135,14,75,17,16,26,1,0,55.5%,68.1%,80.0%,96,13,59,12,13,12,0,0,61.4%,73.9%,87.5%,39,1,16,5,3,14,1,0,41.0%,53.8%,61.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
山田 諒,ヤマダ リョウ,岐阜県,1999/02/04,26歳,男,015268,113期,S級1班,両,107.46,404,16,141,61,23,176,2,1,34.9%,50.0%,55.6%,52,7,35,9,1,7,0,0,67.3%,84.6%,86.5%,218,9,85,32,15,86,0,0,38.9%,53.6%,60.5%,108,0,20,20,6,59,2,1,18.5%,37.0%,42.5%,14,0,1,0,0,13,0,0,7.1%,7.1%,7.1%,12,0,0,0,1,11,0,0,0.0%,0.0%,8.3%,,,,,,,,,,,,92,5,29,12,8,43,0,0,31.5%,44.5%,53.2%,,,,,,,,,,,,51,5,23,8,4,16,0,0,45.0%,60.7%,68.6%,24,0,5,3,3,13,0,0,20.8%,33.3%,45.8%,11,0,1,0,0,10,0,0,9.0%,9.0%,9.0%,6,0,0,1,1,4,0,0,0.0%,16.6%,33.3%,,,,,,,,,,,,28,0,5,4,3,16,0,0,17.8%,32.1%,42.8%,,,,,,,,,,,,15,0,3,3,2,7,0,0,20.0%,40.0%,53.3%,5,0,1,0,0,4,0,0,20.0%,20.0%,20.0%,4,0,1,0,1,2,0,0,25.0%,25.0%,50.0%,4,0,0,1,0,3,0,0,0.0%,25.0%,25.0%,,,,,,,,,,,,524,21,175,77,34,235,2,1,33.3%,48.0%,54.5%,52,7,35,9,1,7,0,0,67.3%,84.6%,86.5%,284,14,111,43,21,109,0,0,39.0%,54.2%,61.6%,137,0,26,23,9,76,2,1,18.9%,35.7%,42.3%,29,0,3,0,1,25,0,0,10.3%,10.3%,13.7%,22,0,0,2,2,18,0,0,0.0%,9.0%,18.1%,,,,,,,,,,,
佐山 寛明,サヤマ ヒロアキ,奈良県,1987/07/21,37歳,男,015269,113期,A級1班,逃,94.09,487,11,129,67,63,224,2,2,26.4%,40.2%,53.1%,243,7,92,39,32,79,0,1,37.8%,53.9%,67.0%,201,4,35,24,30,110,1,1,17.4%,29.3%,44.2%,43,0,2,4,1,35,1,0,4.6%,13.9%,16.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86,1,15,16,11,42,1,2,17.4%,36.0%,48.8%,54,1,8,11,9,24,1,2,14.8%,35.1%,51.8%,32,0,7,5,2,18,0,0,21.8%,37.5%,43.7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,1,10,9,4,8,0,0,32.2%,61.2%,74.1%,21,0,6,6,2,7,0,0,28.5%,57.1%,66.6%,10,1,4,3,2,1,0,0,40.0%,70.0%,90.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,604,13,154,92,78,274,3,4,25.4%,40.7%,53.6%,318,8,106,56,43,110,1,3,33.3%,50.9%,64.4%,243,5,46,32,34,129,1,1,18.9%,32.0%,46.0%,43,0,2,4,1,35,1,0,4.6%,13.9%,16.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
元砂 海人,モトスナ アキヒト,奈良県,1989/07/11,35歳,男,015270,113期,A級3班,両,69.60,305,0,29,49,34,189,2,3,9.5%,25.5%,36.7%,305,0,29,49,34,189,2,3,9.5%,25.5%,36.7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,0,7,6,6,36,0,0,12.7%,23.6%,34.5%,55,0,7,6,6,36,0,0,12.7%,23.6%,34.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,0,1,6,2,11,0,0,5.0%,35.0%,45.0%,20,0,1,6,2,11,0,0,5.0%,35.0%,45.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,380,0,37,61,42,236,2,3,9.7%,25.7%,36.8%,380,0,37,61,42,236,2,3,9.7%,25.7%,36.8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大城 慶之,オオシロ ヨシユキ,大阪府,1984/08/06,40歳,男,015271,113期,A級2班,逃,86.20,314,2,58,48,40,163,4,1,18.4%,33.7%,46.4%,233,2,43,38,33,115,3,1,18.4%,34.7%,48.9%,81,0,15,10,7,48,1,0,18.5%,30.8%,39.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,2,18,10,9,21,0,2,30.0%,46.6%,61.6%,42,2,15,7,6,12,0,2,35.7%,52.3%,66.6%,18,0,3,3,3,9,0,0,16.6%,33.3%,50.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,0,4,1,4,6,1,0,25.0%,31.2%,56.2%,10,0,1,1,3,4,1,0,10.0%,20.0%,50.0%,6,0,3,0,1,2,0,0,50.0%,50.0%,66.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,390,4,80,59,53,190,5,3,20.5%,35.6%,49.2%,285,4,59,46,42,131,4,3,20.7%,36.8%,51.5%,105,0,21,13,11,59,1,0,20.0%,32.3%,42.8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中釜 章成,ナカガマ トシマサ,大阪府,1997/02/22,28歳,男,015272,113期,S級2班,逃,106.38,460,15,136,60,58,204,0,2,29.5%,42.6%,55.2%,120,12,66,13,10,30,0,1,55.0%,65.8%,74.1%,257,3,58,38,41,119,0,1,22.5%,37.3%,53.3%,83,0,12,9,7,55,0,0,14.4%,25.3%,33.7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,1,24,20,12,33,0,1,26.6%,48.8%,62.2%,,,,,,,,,,,,61,1,19,12,9,20,0,1,31.1%,50.8%,65.5%,20,0,4,6,2,8,0,0,20.0%,50.0%,60.0%,,,,,,,,,,,,9,0,1,2,1,5,0,0,11.1%,33.3%,44.4%,,,,,,,,,,,,14,0,3,1,4,5,0,1,21.4%,28.5%,57.1%,,,,,,,,,,,,3,0,2,0,1,0,0,0,66.6%,66.6%,100.0%,8,0,1,1,1,5,0,0,12.5%,25.0%,37.5%,,,,,,,,,,,,3,0,0,0,2,0,0,1,0.0%,0.0%,66.6%,,,,,,,,,,,,564,16,163,81,74,242,0,4,28.9%,43.2%,56.3%,120,12,66,13,10,30,0,1,55.0%,65.8%,74.1%,321,4,79,50,51,139,0,2,24.6%,40.1%,56.0%,111,0,17,16,10,68,0,0,15.3%,29.7%,38.7%,,,,,,,,,,,,12,0,1,2,3,5,0,1,8.3%,25.0%,50.0%,,,,,,,,,,,
中武 三四郎,ナカタケ サンシロウ,大阪府,1993/02/14,32歳,男,015273,113期,A級2班,逃,88.39,482,4,109,97,49,226,1,0,22.6%,42.7%,52.9%,352,2,80,73,35,163,1,0,22.7%,43.4%,53.4%,130,2,29,24,14,63,0,0,22.3%,40.7%,51.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111,0,21,19,10,61,0,0,18.9%,36.0%,45.0%,63,0,13,12,5,33,0,0,20.6%,39.6%,47.6%,48,0,8,7,5,28,0,0,16.6%,31.2%,41.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,1,7,5,6,15,0,0,21.2%,36.3%,54.5%,30,0,6,4,5,15,0,0,20.0%,33.3%,50.0%,3,1,1,1,1,0,0,0,33.3%,66.6%,100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,626,5,137,121,65,302,1,0,21.8%,41.2%,51.5%,445,2,99,89,45,211,1,0,22.2%,42.2%,52.3%,181,3,38,32,20,91,0,0,20.9%,38.6%,49.7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
福永 大智,フクナガ ダイチ,大阪府,1998/05/20,26歳,男,015274,113期,S級1班,逃,105.80,440,25,158,86,49,141,5,1,35.9%,55.4%,66.5%,106,15,64,25,4,11,2,0,60.3%,83.9%,87.7%,236,10,74,43,36,79,3,1,31.3%,49.5%,64.8%,90,0,19,17,8,46,0,0,21.1%,40.0%,48.8%,8,0,1,1,1,5,0,0,12.5%,25.0%,37.5%,,,,,,,,,,,,,,,,,,,,,,,91,1,22,11,15,40,2,1,24.1%,36.2%,52.7%,2,0,0,0,0,2,0,0,0.0%,0.0%,0.0%,43,1,14,7,8,13,1,0,32.5%,48.8%,67.4%,20,0,5,3,2,10,0,0,25.0%,40.0%,50.0%,8,0,1,1,2,3,0,1,12.5%,25.0%,50.0%,18,0,2,0,3,12,1,0,11.1%,11.1%,27.7%,,,,,,,,,,,,20,1,4,3,3,10,0,0,20.0%,35.0%,50.0%,,,,,,,,,,,,9,1,3,1,1,4,0,0,33.3%,44.4%,55.5%,3,0,1,0,0,2,0,0,33.3%,33.3%,33.3%,,,,,,,,,,,,8,0,0,2,2,4,0,0,0.0%,25.0%,50.0%,,,,,,,,,,,,551,27,184,100,67,191,7,2,33.3%,51.5%,63.7%,108,15,64,25,4,13,2,0,59.2%,82.4%,86.1%,288,12,91,51,45,96,4,1,31.5%,49.3%,64.9%,113,0,25,20,10,58,0,0,22.1%,39.8%,48.6%,16,0,2,2,3,8,0,1,12.5%,25.0%,43.7%,26,0,2,2,5,16,1,0,7.6%,15.3%,34.6%,,,,,,,,,,,
伊藤 歩登,イトウ アルト,兵庫県,1998/11/06,26歳,男,015275,113期,A級2班,逃,85.26,406,6,143,62,48,150,3,0,35.2%,50.4%,62.3%,288,6,114,44,37,92,1,0,39.5%,54.8%,67.7%,118,0,29,18,11,58,2,0,24.5%,39.8%,49.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,0,13,10,5,47,0,0,17.3%,30.6%,37.3%,45,0,9,6,2,28,0,0,20.0%,33.3%,37.7%,30,0,4,4,3,19,0,0,13.3%,26.6%,36.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,0,7,5,3,15,0,0,23.3%,40.0%,50.0%,18,0,6,2,2,8,0,0,33.3%,44.4%,55.5%,12,0,1,3,1,7,0,0,8.3%,33.3%,41.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,511,6,163,77,56,212,3,0,31.8%,46.9%,57.9%,351,6,129,52,41,128,1,0,36.7%,51.5%,63.2%,160,0,34,25,15,84,2,0,21.2%,36.8%,46.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
